name,pick,xVORP,xVORP_impact,Peak Impact Rating,Immediate Impact Rating,ceiling_player,floor_player,ceiling_player_rating,floor_player_rating,year
Quinten Post,53,0.254066552,0.121666081,1.69,1.52,Kelly Olynyk,A.J. Hammons,"{1.0: 0.4, 2.0: 1.6, 3.0: 1.4, 4.0: 0.7, 5.0: 0.8, 6.0: 1.7, 7.0: 1.0, 8.0: 0.9, 9.0: 1.2, 10.0: 1.9, 11.0: 1.2, 12.0: 1.2, 13.0: 0.3, 14.0: 1.2, 15.0: 0.5}",{1.0: -0.2},2024
Judah Mintz,73,0.34316575,-0.150613034,2.29,-1.88,De'Aaron Fox,Semaj Christon,"{1.0: 2.7, 2.0: 1.6, 3.0: 2.0, 4.0: 0.7, 5.0: 2.3, 6.0: 3.2, 7.0: -1.1}",{1.0: -0.8},2024
Zyon Pullin,75,0.095852609,-0.108849943,0.64,-1.36,Tyus Jones,Tyler Ulis,"{1.0: 1.3, 2.0: 0.6, 3.0: -0.1, 4.0: 1.7, 5.0: 0.8, 6.0: 1.1, 7.0: 1.4, 8.0: 0.9, 9.0: 0.4}","{1.0: 0.0, 2.0: -0.1, 3.0: -1.0}",2024
Bronny James,56,0.174145117,-0.110318499,1.16,-1.38,Tyrese Maxey,Marquis Teague,"{1.0: 3.4, 2.0: 1.8, 3.0: 1.3, 4.0: 0.1}","{1.0: -0.6, 2.0: -0.2, 3.0: -0.4, 4.0: -0.1, 5.0: -0.4}",2024
Boogie Ellis,67,0.058384458,-0.136602813,0.39,-1.71,Devonte' Graham,Austin Rivers,"{1.0: 0.5, 2.0: 1.1, 3.0: 1.4, 4.0: -0.1, 5.0: 0.6, 6.0: 0.4, 7.0: 0.2, 8.0: -0.3}","{1.0: 0.4, 2.0: -1.1, 3.0: -0.6, 4.0: -0.5, 5.0: -0.3, 6.0: -0.2, 7.0: -0.1, 8.0: -0.2, 9.0: -0.2, 10.0: -0.2, 11.0: 0.0, 12.0: -0.6, 13.0: -0.1, 14.0: -0.7, 15.0: 0.0, 16.0: 0.0, 17.0: -1.5}",2024
Mantas Rubstavicius,76,0.12486666,-0.173314734,0.83,-2.17,Trey Murphy III,Kim English,"{1.0: 1.9, 2.0: 0.2, 3.0: 2.3}",{1.0: -0.2},2024
Victor Wembanyama,1,1.245600659,0.550017421,8.3,6.88,Joel Embiid,Reggie Perry,"{1.0: 3.8, 2.0: 2.5, 3.0: 6.5, 4.0: 1.3, 5.0: 3.8, 6.0: 4.5, 7.0: 2.6, 8.0: 6.4}","{1.0: 0.0, 2.0: -0.2, 3.0: -0.1, 4.0: -0.1}",2023
Brandon Miller,2,0.652863834,0.061483788,4.35,0.77,Miles Bridges,Cleanthony Early,"{1.0: -0.3, 2.0: 0.5, 3.0: 2.5, 4.0: 1.1, 5.0: 0.6}","{1.0: -0.5, 2.0: -0.3}",2023
Scoot Henderson,3,0.395002085,-0.191934724,2.63,-2.4,Dejounte Murray,Killian Hayes,"{1.0: 1.1, 2.0: -0.2, 3.0: 1.5, 4.0: 2.6, 5.0: 2.1, 6.0: 4.4, 7.0: 1.0}","{1.0: -0.6, 2.0: -1.0, 3.0: -0.2, 4.0: -0.9}",2023
Amen Thompson,4,0.951848458,0.525662931,6.35,6.57,Ja Morant,Killian Hayes,"{1.0: 1.2, 2.0: 0.4, 3.0: 3.8, 4.0: 0.8, 5.0: 3.9}","{1.0: -0.6, 2.0: -1.0, 3.0: -0.2, 4.0: -0.9}",2023
